Date,AHE M-o-M - 1 Month Ahead,AHE M-o-M - Avg Next 3 Months,Change in 3M/3M Annualized,Change in Current - Previous 3M Avg.
10/31/2019 0:00, 0.003900 , 0.002233 , (0.002100), (0.000300)
9/30/2019 0:00, 0.002500 , 0.002367 , 0.003900 , (0.001800)
8/31/2019 0:00, 0.001400 , 0.002600 , 0.005300 , 0.000800 
7/31/2019 0:00, 0.003900 , 0.002600 , 0.004400 , 0.001100 
6/30/2019 0:00, 0.002900 , 0.002733 , (0.004000), 0.000900 
5/31/2019 0:00, 0.002900 , 0.003233 , (0.005000), 0.001600 
4/30/2019 0:00, 0.003600 , 0.003133 , (0.003100), (0.003900)
3/31/2019 0:00, (0.001100), 0.001800 , (0.000600), 0.000100 
2/28/2019 0:00, 0.003200 , 0.001900 , 0.000900 , 0.001200 
1/31/2019 0:00, 0.004000 , 0.002033 , (0.002100), (0.001800)
12/31/2018 0:00, 0.001100 , 0.002767 , (0.002700), 0.001400 
11/30/2018 0:00, 0.004400 , 0.003167 , 0.000900 , (0.000400)
10/31/2018 0:00, 0.002900 , 0.002800 , 0.005000 , (0.002100)
9/30/2018 0:00, 0.001500 , 0.002933 , 0.006000 , 0.001700 
8/31/2018 0:00, 0.004400 , 0.002933 , (0.000600), 0.002000 
7/31/2018 0:00, 0.004100 , 0.003333 , (0.001100), 0.000100 
6/30/2018 0:00, 0.002200 , 0.003567 , (0.004200), (0.001000)
5/31/2018 0:00, 0.001900 , 0.002733 , (0.000100), (0.000100)
4/30/2018 0:00, 0.002200 , 0.002100 , (0.002700), (0.000900)
3/31/2018 0:00, 0.002200 , 0.002100 , 0.006600 , 0.001200 
2/28/2018 0:00, 0.004100 , 0.002833 , 0.004600 , (0.002300)
1/31/2018 0:00, 0.000700 , 0.002333 , 0.005600 , 0.003000 
12/31/2017 0:00, 0.004500 , 0.003100 , (0.005700), 0.001600 
11/30/2017 0:00, 0.003400 , 0.002867 , (0.001600), (0.000500)
10/31/2017 0:00, 0.001100 , 0.003000 , (0.003200), (0.002900)
9/30/2017 0:00, -   , 0.001500 , 0.004100 , 0.002000 
8/31/2017 0:00, 0.004200 , 0.001767 , 0.001000 , (0.001700)
7/31/2017 0:00, 0.000800 , 0.001667 , 0.001000 , 0.001900 
