Date,AHE M-o-M - 1 Month Ahead,AHE M-o-M - Avg Next 3 Months,Change in 3M/3M Annualized,Change in Current - Previous 3M Avg.
10/31/2019,0.0039,0.0022,-0.0021,-0.0003
10/31/2019,0.0025,0.0024,0.0039,-0.0018
10/31/2019,0.0014,0.0026,0.0053,0.0008
10/31/2019,0.0039,0.0026,0.0044,0.0011
10/31/2019,0.0029,0.0027,-0.0040,0.0009
10/31/2019,0.0029,0.0032,-0.0050,0.0016
10/31/2019,0.0036,0.0031,-0.0031,-0.0039
10/31/2019,-0.0011,0.0018,-0.0006,0.0001
10/31/2019,0.0032,0.0019,0.0009,0.0012
10/31/2019,0.0040,0.0020,-0.0021,-0.0018
10/31/2019,0.0011,0.0028,-0.0027,0.0014
10/31/2019,0.0044,0.0032,0.0009,-0.0004
10/31/2019,0.0029,0.0028,0.0050,-0.0021
10/31/2019,0.0015,0.0029,0.0060,0.0017
10/31/2019,0.0044,0.0029,-0.0006,0.0020
10/31/2019,0.0041,0.0033,-0.0011,0.0001
10/31/2019,0.0022,0.0036,-0.0042,-0.0010
10/31/2019,0.0019,0.0027,-0.0001,-0.0001
10/31/2019,0.0022,0.0021,-0.0027,-0.0009
10/31/2019,0.0022,0.0021,0.0066,0.0012
10/31/2019,0.0041,0.0028,0.0046,-0.0023
10/31/2019,0.0007,0.0023,0.0056,0.0030
10/31/2019,0.0045,0.0031,-0.0057,0.0016
10/31/2019,0.0034,0.0029,-0.0016,-0.0005
10/31/2019,0.0011,0.0030,-0.0032,-0.0029
10/31/2019,0.0000,0.0015,0.0041,0.0020
10/31/2019,0.0042,0.0018,0.0010,-0.0017
10/31/2019,0.0008,0.0017,0.0010,0.0019
10/31/2019,0.0038,0.0029,-0.0022,0.0000
10/31/2019,0.0019,0.0022,-0.0006,-0.0006
10/31/2019,0.0015,0.0024,0.0031,-0.0001
10/31/2019,0.0023,0.0019,0.0020,-0.0001
10/31/2019,0.0019,0.0019,-0.0011,0.0009
10/31/2019,0.0023,0.0022,-0.0048,0.0011
10/31/2019,0.0031,0.0024,0.0000,-0.0016
10/31/2019,0.0008,0.0021,0.0021,-0.0022
10/31/2019,0.0004,0.0014,0.0021,0.0027
10/31/2019,0.0047,0.0020,-0.0011,0.0001
10/31/2019,0.0019,0.0023,-0.0033,-0.0009
10/31/2019,0.0012,0.0026,0.0005,0.0005
10/31/2019,0.0027,0.0019,-0.0022,-0.0011
10/31/2019,0.0016,0.0018,0.0037,0.0000
10/31/2019,0.0020,0.0021,-0.0022,0.0004
10/31/2019,0.0031,0.0022,0.0042,0.0010
10/31/2019,0.0028,0.0026,-0.0017,-0.0025
10/31/2019,0.0000,0.0020,0.0000,0.0038
10/31/2019,0.0055,0.0028,-0.0006,-0.0025
10/31/2019,-0.0004,0.0017,0.0022,-0.0001
10/31/2019,0.0024,0.0025,0.0043,0.0013
10/31/2019,0.0032,0.0017,0.0016,-0.0008
10/31/2019,0.0008,0.0021,-0.0033,0.0021
10/31/2019,0.0036,0.0025,-0.0017,-0.0003
10/31/2019,0.0012,0.0019,-0.0072,-0.0024
10/31/2019,0.0000,0.0016,0.0027,0.0013
10/31/2019,0.0032,0.0015,-0.0017,-0.0020
10/31/2019,0.0012,0.0015,0.0094,0.0011
10/31/2019,0.0028,0.0024,0.0005,-0.0007
10/31/2019,0.0016,0.0019,0.0039,0.0043
10/31/2019,0.0053,0.0032,-0.0011,-0.0033
10/31/2019,-0.0016,0.0018,-0.0011,0.0019
10/31/2019,0.0033,0.0023,-0.0022,0.0000
10/31/2019,0.0012,0.0010,-0.0028,-0.0015
10/31/2019,0.0004,0.0016,0.0039,0.0005
10/31/2019,0.0025,0.0014,0.0017,-0.0011
10/31/2019,0.0008,0.0012,0.0000,0.0015
10/31/2019,0.0025,0.0019,-0.0056,0.0010
10/31/2019,0.0025,0.0019,-0.0017,-0.0011
10/31/2019,0.0008,0.0019,0.0011,-0.0028
10/31/2019,-0.0004,0.0010,0.0017,0.0022
10/31/2019,0.0041,0.0015,0.0017,0.0004
10/31/2019,0.0021,0.0019,0.0011,-0.0011
10/31/2019,0.0008,0.0023,0.0005,0.0014
10/31/2019,0.0029,0.0019,0.0000,-0.0001
10/31/2019,0.0012,0.0016,-0.0035,-0.0001
10/31/2019,0.0017,0.0019,0.0011,0.0001
10/31/2019,0.0017,0.0015,-0.0006,-0.0014
10/31/2019,0.0008,0.0014,0.0051,0.0014
10/31/2019,0.0029,0.0018,-0.0023,-0.0008
10/31/2019,0.0008,0.0015,-0.0041,0.0020
10/31/2019,0.0029,0.0022,-0.0053,-0.0013
10/31/2019,0.0008,0.0015,0.0005,-0.0014
10/31/2019,0.0013,0.0017,0.0075,-0.0014
10/31/2019,0.0008,0.0010,0.0028,0.0022
10/31/2019,0.0042,0.0021,0.0028,0.0021
10/31/2019,0.0030,0.0027,-0.0029,-0.0020
10/31/2019,-0.0004,0.0023,0.0005,0.0021
10/31/2019,0.0034,0.0020,-0.0017,-0.0020
10/31/2019,-0.0004,0.0009,-0.0018,0.0003
10/31/2019,0.0017,0.0016,-0.0024,0.0008
10/31/2019,0.0026,0.0013,0.0017,-0.0016
10/31/2019,0.0004,0.0016,0.0052,-0.0007
10/31/2019,0.0013,0.0014,0.0023,0.0021
10/31/2019,0.0034,0.0017,-0.0018,0.0006
10/31/2019,0.0013,0.0020,-0.0030,-0.0001
10/31/2019,0.0013,0.0020,-0.0006,-0.0004
10/31/2019,0.0013,0.0013,0.0017,-0.0019
10/31/2019,-0.0004,0.0007,-0.0054,0.0019
10/31/2019,0.0035,0.0015,-0.0018,0.0009
10/31/2019,0.0022,0.0018,-0.0012,-0.0041
10/31/2019,-0.0013,0.0015,0.0083,0.0019
10/31/2019,0.0039,0.0016,0.0017,-0.0003
10/31/2019,0.0013,0.0013,-0.0018,0.0023
10/31/2019,0.0031,0.0028,-0.0042,0.0001
10/31/2019,0.0017,0.0020,0.0011,-0.0021
10/31/2019,0.0000,0.0016,0.0018,-0.0013
10/31/2019,0.0004,0.0007,-0.0019,0.0031
10/31/2019,0.0044,0.0016,-0.0030,-0.0003
10/31/2019,0.0013,0.0020,0.0011,-0.0026
10/31/2019,-0.0004,0.0018,0.0030,0.0010
10/31/2019,0.0031,0.0013,0.0042,0.0009
10/31/2019,0.0022,0.0016,0.0006,-0.0002
10/31/2019,0.0013,0.0022,0.0012,0.0016
10/31/2019,0.0027,0.0021,-0.0018,-0.0012
10/31/2019,0.0000,0.0013,-0.0012,0.0006
10/31/2019,0.0018,0.0015,-0.0019,-0.0002
10/31/2019,0.0013,0.0010,0.0000,-0.0010
10/31/2019,0.0004,0.0012,-0.0013,0.0001
10/31/2019,0.0018,0.0012,-0.0006,0.0007
10/31/2019,0.0022,0.0015,-0.0013,-0.0013
10/31/2019,0.0004,0.0015,0.0000,0.0004
10/31/2019,0.0022,0.0016,0.0018,0.0000
10/31/2019,0.0018,0.0015,0.0024,-0.0005
10/31/2019,0.0013,0.0018,0.0000,0.0009
10/31/2019,0.0023,0.0018,-0.0025,0.0006
10/31/2019,0.0018,0.0018,-0.0025,-0.0005
10/31/2019,0.0014,0.0018,0.0000,-0.0011
10/31/2019,0.0009,0.0014,-0.0044,-0.0005
10/31/2019,0.0014,0.0012,-0.0063,0.0014
10/31/2019,0.0032,0.0018,-0.0032,-0.0017
10/31/2019,0.0014,0.0020,0.0024,-0.0025
10/31/2019,0.0009,0.0018,0.0005,0.0006
10/31/2019,0.0032,0.0018,-0.0039,0.0026
10/31/2019,0.0051,0.0031,-0.0040,-0.0014
10/31/2019,0.0018,0.0034,0.0037,-0.0026
10/31/2019,0.0009,0.0026,0.0012,0.0012
10/31/2019,0.0046,0.0024,0.0025,0.0018
10/31/2019,0.0042,0.0032,-0.0027,-0.0014
10/31/2019,0.0019,0.0036,0.0045,0.0014
10/31/2019,0.0042,0.0034,0.0025,-0.0020
10/31/2019,0.0009,0.0023,0.0038,0.0025
10/31/2019,0.0047,0.0033,0.0013,0.0006
10/31/2019,0.0028,0.0028,0.0019,-0.0006
10/31/2019,0.0014,0.0030,0.0026,0.0005
10/31/2019,0.0024,0.0022,-0.0026,0.0011
10/31/2019,0.0028,0.0022,-0.0040,-0.0005
10/31/2019,0.0010,0.0021,-0.0086,-0.0007
10/31/2019,0.0019,0.0019,-0.0001,-0.0003
10/31/2019,0.0024,0.0018,-0.0014,-0.0035
10/31/2019,0.0000,0.0014,0.0039,0.0027
10/31/2019,0.0053,0.0026,-0.0021,-0.0002
10/31/2019,0.0029,0.0027,0.0019,-0.0002
10/31/2019,0.0024,0.0035,-0.0001,-0.0007
10/31/2019,0.0024,0.0026,0.0013,0.0018
10/31/2019,0.0044,0.0031,0.0013,-0.0016
10/31/2019,0.0010,0.0026,-0.0014,0.0011
10/31/2019,0.0039,0.0031,-0.0015,0.0006
10/31/2019,0.0029,0.0026,-0.0001,-0.0020
10/31/2019,0.0010,0.0026,-0.0008,0.0013
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
