Date,AHE M-o-M - 1 Month Ahead,AHE M-o-M - Avg Next 3 Months,Change in 3M/3M Annualized,Change in Current - Previous 3M Avg.,,
2019-10-31, 3.90 , 2.23 , (2.10), (0.30),,
2019-09-30, 2.50 , 2.37 , 3.90 , (1.80),,
2019-08-31, 1.40 , 2.60 , 5.30 , 0.80 ,,
2019-07-31, 3.90 , 2.60 , 4.40 , 1.10 ,,
2019-06-30, 2.90 , 2.73 , (4.00), 0.90 ,,
2019-05-31, 2.90 , 3.23 , (5.00), 1.60 ,,
2019-04-30, 3.60 , 3.13 , (3.10), (3.90),,
2019-03-31, (1.10), 1.80 , (0.60), 0.10 ,,
2019-02-28, 3.20 , 1.90 , 0.90 , 1.20 ,,
2019-01-31, 4.00 , 2.03 , (2.10), (1.80),,
2018-12-31, 1.10 , 2.77 , (2.70), 1.40 ,,
2018-11-30, 4.40 , 3.17 , 0.90 , (0.40),,
2018-10-31, 2.90 , 2.80 , 5.00 , (2.10),,
2018-09-30, 1.50 , 2.93 , 6.00 , 1.70 ,,
2018-08-31, 4.40 , 2.93 , (0.60), 2.00 ,,
2018-07-31, 4.10 , 3.33 , (1.10), 0.10 ,,
2018-06-30, 2.20 , 3.57 , (4.20), (1.00),,
2018-05-31, 1.90 , 2.73 , (0.10), (0.10),,
2018-04-30, 2.20 , 2.10 , (2.70), (0.90),,
2018-03-31, 2.20 , 2.10 , 6.60 , 1.20 ,,
2018-02-28, 4.10 , 2.83 , 4.60 , (2.30),,
2018-01-31, 0.70 , 2.33 , 5.60 , 3.00 ,,
2017-12-31, 4.50 , 3.10 , (5.70), 1.60 ,,
2017-11-30, 3.40 , 2.87 , (1.60), (0.50),,
2017-10-31, 1.10 , 3.00 , (3.20), (2.90),,
2017-09-30, -   , 1.50 , 4.10 , 2.00 ,,
2017-08-31, 4.20 , 1.77 , 1.00 , (1.70),,
2017-07-31, 0.80 , 1.67 , 1.00 , 1.90 ,,
2017-06-30, 3.80 , 2.93 , (2.20), -   ,,
2017-05-31, 1.90 , 2.17 , (0.60), (0.60),,
2017-04-30, 1.50 , 2.40 , 3.10 , (0.10),,
2017-03-31, 2.30 , 1.90 , 2.00 , (0.10),,
2017-02-28, 1.90 , 1.90 , (1.10), 0.90 ,,
2017-01-31, 2.30 , 2.17 , (4.80), 1.10 ,,
2016-12-31, 3.10 , 2.43 , -   , (1.60),,
2016-11-30, 0.80 , 2.07 , 2.10 , (2.20),,
2016-10-31, 0.40 , 1.43 , 2.10 , 2.70 ,,
2016-09-30, 4.70 , 1.97 , (1.10), 0.10 ,,
2016-08-31, 1.90 , 2.33 , (3.30), (0.90),,
2016-07-31, 1.20 , 2.60 , 0.50 , 0.50 ,,
2016-06-30, 2.70 , 1.93 , (2.20), (1.10),,
2016-05-31, 1.60 , 1.83 , 3.70 , -   ,,
2016-04-30, 2.00 , 2.10 , (2.20), 0.40 ,,
2016-03-31, 3.10 , 2.23 , 4.20 , 1.00 ,,
2016-02-29, 2.80 , 2.63 , (1.70), (2.50),,
2016-01-31, -   , 1.97 , -   , 3.80 ,,
2015-12-31, 5.50 , 2.77 , (0.60), (2.50),,
2015-11-30, (0.40), 1.70 , 2.20 , (0.10),,
2015-10-31, 2.40 , 2.50 , 4.30 , 1.30 ,,
2015-09-30, 3.20 , 1.73 , 1.60 , (0.80),,
2015-08-31, 0.80 , 2.13 , (3.30), 2.10 ,,
2015-07-31, 3.60 , 2.53 , (1.70), (0.30),,
2015-06-30, 1.20 , 1.87 , (7.20), (2.40),,
2015-05-31, -   , 1.60 , 2.70 , 1.30 ,,
2015-04-30, 3.20 , 1.47 , (1.70), (2.00),,
2015-03-31, 1.20 , 1.47 , 9.40 , 1.10 ,,
2015-02-28, 2.80 , 2.40 , 0.50 , (0.70),,
2015-01-31, 1.60 , 1.87 , 3.90 , 4.30 ,,
2014-12-31, 5.30 , 3.23 , (1.10), (3.30),,
2014-11-30, (1.60), 1.77 , (1.10), 1.90 ,,
2014-10-31, 3.30 , 2.33 , (2.20), -   ,,
2014-09-30, 1.20 , 0.97 , (2.80), (1.50),,
2014-08-31, 0.40 , 1.63 , 3.90 , 0.50 ,,
2014-07-31, 2.50 , 1.37 , 1.70 , (1.10),,
2014-06-30, 0.80 , 1.23 , -   , 1.50 ,,
2014-05-31, 2.50 , 1.93 , (5.60), 1.00 ,,
2014-04-30, 2.50 , 1.93 , (1.70), (1.10),,
2014-03-31, 0.80 , 1.93 , 1.10 , (2.80),,
2014-02-28, (0.40), 0.97 , 1.70 , 2.20 ,,
2014-01-31, 4.10 , 1.50 , 1.70 , 0.40 ,,
2013-12-31, 2.10 , 1.93 , 1.10 , (1.10),,
2013-11-30, 0.80 , 2.33 , 0.50 , 1.40 ,,
2013-10-31, 2.90 , 1.93 , -   , (0.10),,
2013-09-30, 1.20 , 1.63 , (3.50), (0.10),,
2013-08-31, 1.70 , 1.93 , 1.10 , 0.10 ,,
2013-07-31, 1.70 , 1.53 , (0.60), (1.40),,
2013-06-30, 0.80 , 1.40 , 5.10 , 1.40 ,,
2013-05-31, 2.90 , 1.80 , (2.30), (0.80),,
2013-04-30, 0.80 , 1.50 , (4.10), 2.00 ,,
2013-03-31, 2.90 , 2.20 , (5.30), (1.30),,
2013-02-28, 0.80 , 1.50 , 0.50 , (1.40),,
2013-01-31, 1.30 , 1.67 , 7.50 , (1.40),,
2012-12-31, 0.80 , 0.97 , 2.80 , 2.20 ,,
2012-11-30, 4.20 , 2.10 , 2.80 , 2.10 ,,
2012-10-31, 3.00 , 2.67 , (2.90), (2.00),,
2012-09-30, (0.40), 2.27 , 0.50 , 2.10 ,,
2012-08-31, 3.40 , 2.00 , (1.70), (2.00),,
2012-07-31, (0.40), 0.87 , (1.80), 0.30 ,,
2012-06-30, 1.70 , 1.57 , (2.40), 0.80 ,,
2012-05-31, 2.60 , 1.30 , 1.70 , (1.60),,
2012-04-30, 0.40 , 1.57 , 5.20 , (0.70),,
2012-03-31, 1.30 , 1.43 , 2.30 , 2.10 ,,
2012-02-29, 3.40 , 1.70 , (1.80), 0.60 ,,
2012-01-31, 1.30 , 2.00 , (3.00), (0.10),,
2011-12-31, 1.30 , 2.00 , (0.60), (0.40),,
2011-11-30, 1.30 , 1.30 , 1.70 , (1.90),,
2011-10-31, (0.40), 0.73 , (5.40), 1.90 ,,
2011-09-30, 3.50 , 1.47 , (1.80), 0.90 ,,
2011-08-31, 2.20 , 1.77 , (1.20), (4.10),,
2011-07-31, (1.30), 1.47 , 8.30 , 1.90 ,,
2011-06-30, 3.90 , 1.60 , 1.70 , (0.30),,
2011-05-31, 1.30 , 1.30 , (1.80), 2.30 ,,
2011-04-30, 3.10 , 2.77 , (4.20), 0.10 ,,
2011-03-31, 1.70 , 2.03 , 1.10 , (2.10),,
2011-02-28, -   , 1.60 , 1.80 , (1.30),,
2011-01-31, 0.40 , 0.70 , (1.90), 3.10 ,,
2010-12-31, 4.40 , 1.60 , (3.00), (0.30),,
2010-11-30, 1.30 , 2.03 , 1.10 , (2.60),,
2010-10-31, (0.40), 1.77 , 3.00 , 1.00 ,,
2010-09-30, 3.10 , 1.33 , 4.20 , 0.90 ,,
2010-08-31, 2.20 , 1.63 , 0.60 , (0.20),,
2010-07-31, 1.30 , 2.20 , 1.20 , 1.60 ,,
2010-06-30, 2.70 , 2.07 , (1.80), (1.20),,
2010-05-31, -   , 1.33 , (1.20), 0.60 ,,
2010-04-30, 1.80 , 1.50 , (1.90), (0.20),,
2010-03-31, 1.30 , 1.03 , -   , (1.00),,
2010-02-28, 0.40 , 1.17 , (1.30), 0.10 ,,
2010-01-31, 1.80 , 1.17 , (0.60), 0.70 ,,
2009-12-31, 2.20 , 1.47 , (1.30), (1.30),,
2009-11-30, 0.40 , 1.47 , -   , 0.40 ,,
2009-10-31, 2.20 , 1.60 , 1.80 , -   ,,
2009-09-30, 1.80 , 1.47 , 2.40 , (0.50),,
2009-08-31, 1.30 , 1.77 , -   , 0.90 ,,
2009-07-31, 2.30 , 1.80 , (2.50), 0.60 ,,
2009-06-30, 1.80 , 1.80 , (2.50), (0.50),,
2009-05-31, 1.40 , 1.83 , -   , (1.10),,
2009-04-30, 0.90 , 1.37 , (4.40), (0.50),,
2009-03-31, 1.40 , 1.23 , (6.30), 1.40 ,,
2009-02-28, 3.20 , 1.83 , (3.20), (1.70),,
2009-01-31, 1.40 , 2.00 , 2.40 , (2.50),,
2008-12-31, 0.90 , 1.83 , 0.50 , 0.60 ,,
2008-11-30, 3.20 , 1.83 , (3.90), 2.60 ,,
2008-10-31, 5.10 , 3.07 , (4.00), (1.40),,
2008-09-30, 1.80 , 3.37 , 3.70 , (2.60),,
2008-08-31, 0.90 , 2.60 , 1.20 , 1.20 ,,
2008-07-31, 4.60 , 2.43 , 2.50 , 1.80 ,,
2008-06-30, 4.20 , 3.23 , (2.70), (1.40),,
2008-05-31, 1.90 , 3.57 , 4.50 , 1.40 ,,
2008-04-30, 4.20 , 3.43 , 2.50 , (2.00),,
2008-03-31, 0.90 , 2.33 , 3.80 , 2.50 ,,
