Date,NFP M/M - 1 Month Ahead,NFP M/M - Next 3 Months,1M Chg - 3M Avg,3M Avg - Prev. 3M Avg.
10/31/2019,215,651,-44.67,84
9/30/2019,129,446,46.67,14.67
8/31/2019,207,551,126.67,-19
7/31/2019,232,568,-77,-44.33
6/30/2019,82,521,-12.33,-12.67
5/31/2019,167,481,-82.67,22.67
4/30/2019,67,316,71.33,-46.33
3/31/2019,243,477,71.33,23.67
2/28/2019,228,538,-218,40
1/31/2019,-22,449,161,28
12/31/2018,309,515,66.33,16.33
11/30/2018,183,470,-72,-55.67
10/31/2018,96,588,33.33,-30.67
9/30/2018,165,444,-83.33,-96.67
8/31/2018,89,350,51.33,-60
7/31/2018,250,504,-172.33,-53.33
6/30/2018,56,395,-21.33,-25
5/31/2018,211,517,77,5.33
4/30/2018,329,596,-108.33,77.67
3/31/2018,145,685,-4,79.33
2/28/2018,223,697,213.67,70.33
1/31/2018,388,756,-25,49.33
12/31/2017,149,760,-12.67,37
11/30/2017,144,681,105,-16
10/31/2017,230,523,11,-75
9/30/2017,148,522,-80.67,-67.33
8/31/2017,92,470,-65,-8.67
7/31/2017,135,375,-20.33,22.33
6/30/2017,184,411,17.67,15.33
5/31/2017,199,518,39.33,-37.33
4/30/2017,217,600,8,-12.33
3/31/2017,197,613,-88.67,40
2/28/2017,130,544,16,43.67
1/31/2017,206,533,82,5.33
12/31/2016,231,567,44,-120.67
11/30/2016,219,656,-64.67,-79.33
10/31/2016,120,570,-161.67,-35
9/30/2016,108,447,42.67,107.67
8/31/2016,297,525,-70.67,90.67
7/31/2016,149,554,201,0.33
6/30/2016,363,809,87.33,-32.33
5/31/2016,251,763,-174.33,-36.33
4/30/2016,45,659,-4.33,15
3/31/2016,190,486,56,-78.33
2/29/2016,256,491,7.67,-26.67
1/31/2016,212,658,-157.67,5.67
12/31/2015,115,583,46.33,82.67
11/30/2015,273,600,26.33,30
10/31/2015,225,613,130,-63.67
9/30/2015,320,818,-61.67,-67
8/31/2015,135,680,-121.33,-40.33
7/31/2015,141,596,37,49
6/30/2015,294,570,-82,71
