Date,NFP M/M - 1 Month Ahead,NFP M/M - Current,NFP M/M - Next 3 Months,1M Chg - 3M Avg,3M Avg - Prev. 3M Avg.
2019-10-31, 215.00 , 129.00 , 651.00 , (44.67), 84.00 
2019-09-30, 129.00 , 207.00 , 446.00 , 46.67 , 14.67 
2019-08-31, 207.00 , 232.00 , 551.00 , 126.67 , (19.00)
2019-07-31, 232.00 , 82.00 , 568.00 , (77.00), (44.33)
2019-06-30, 82.00 , 167.00 , 521.00 , (12.33), (12.67)
2019-05-31, 167.00 , 67.00 , 481.00 , (82.67), 22.67 
2019-04-30, 67.00 , 243.00 , 316.00 , 71.33 , (46.33)
2019-03-31, 243.00 , 228.00 , 477.00 , 71.33 , 23.67 
2019-02-28, 228.00 , (22.00), 538.00 , (218.00), 40.00 
2019-01-31, (22.00), 309.00 , 449.00 , 161.00 , 28.00 
2018-12-31, 309.00 , 183.00 , 515.00 , 66.33 , 16.33 
2018-11-30, 183.00 , 96.00 , 470.00 , (72.00), (55.67)
2018-10-31, 96.00 , 165.00 , 588.00 , 33.33 , (30.67)
2018-09-30, 165.00 , 89.00 , 444.00 , (83.33), (96.67)
2018-08-31, 89.00 , 250.00 , 350.00 , 51.33 , (60.00)
2018-07-31, 250.00 , 56.00 , 504.00 , (172.33), (53.33)
2018-06-30, 56.00 , 211.00 , 395.00 , (21.33), (25.00)
2018-05-31, 211.00 , 329.00 , 517.00 , 77.00 , 5.33 
2018-04-30, 329.00 , 145.00 , 596.00 , (108.33), 77.67 
2018-03-31, 145.00 , 223.00 , 685.00 , (4.00), 79.33 
2018-02-28, 223.00 , 388.00 , 697.00 , 213.67 , 70.33 
2018-01-31, 388.00 , 149.00 , 756.00 , (25.00), 49.33 
2017-12-31, 149.00 , 144.00 , 760.00 , (12.67), 37.00 
2017-11-30, 144.00 , 230.00 , 681.00 , 105.00 , (16.00)
2017-10-31, 230.00 , 148.00 , 523.00 , 11.00 , (75.00)
2017-09-30, 148.00 , 92.00 , 522.00 , (80.67), (67.33)
2017-08-31, 92.00 , 135.00 , 470.00 , (65.00), (8.67)
2017-07-31, 135.00 , 184.00 , 375.00 , (20.33), 22.33 
2017-06-30, 184.00 , 199.00 , 411.00 , 17.67 , 15.33 
2017-05-31, 199.00 , 217.00 , 518.00 , 39.33 , (37.33)
2017-04-30, 217.00 , 197.00 , 600.00 , 8.00 , (12.33)
2017-03-31, 197.00 , 130.00 , 613.00 , (88.67), 40.00 
2017-02-28, 130.00 , 206.00 , 544.00 , 16.00 , 43.67 
2017-01-31, 206.00 , 231.00 , 533.00 , 82.00 , 5.33 
2016-12-31, 231.00 , 219.00 , 567.00 , 44.00 , (120.67)
2016-11-30, 219.00 , 120.00 , 656.00 , (64.67), (79.33)
2016-10-31, 120.00 , 108.00 , 570.00 , (161.67), (35.00)
2016-09-30, 108.00 , 297.00 , 447.00 , 42.67 , 107.67 
2016-08-31, 297.00 , 149.00 , 525.00 , (70.67), 90.67 
2016-07-31, 149.00 , 363.00 , 554.00 , 201.00 , 0.33 
2016-06-30, 363.00 , 251.00 , 809.00 , 87.33 , (32.33)
2016-05-31, 251.00 , 45.00 , 763.00 , (174.33), (36.33)
2016-04-30, 45.00 , 190.00 , 659.00 , (4.33), 15.00 
2016-03-31, 190.00 , 256.00 , 486.00 , 56.00 , (78.33)
2016-02-29, 256.00 , 212.00 , 491.00 , 7.67 , (26.67)
2016-01-31, 212.00 , 115.00 , 658.00 , (157.67), 5.67 
2015-12-31, 115.00 , 273.00 , 583.00 , 46.33 , 82.67 
2015-11-30, 273.00 , 225.00 , 600.00 , 26.33 , 30.00 
2015-10-31, 225.00 , 320.00 , 613.00 , 130.00 , (63.67)
2015-09-30, 320.00 , 135.00 , 818.00 , (61.67), (67.00)
2015-08-31, 135.00 , 141.00 , 680.00 , (121.33), (40.33)
2015-07-31, 141.00 , 294.00 , 596.00 , 37.00 , 49.00 
2015-06-30, 294.00 , 155.00 , 570.00 , (82.00), 71.00 
2015-05-31, 155.00 , 338.00 , 590.00 , 124.67 , (9.67)
2015-04-30, 338.00 , 278.00 , 787.00 , 92.00 , (39.00)
2015-03-31, 278.00 , 95.00 , 771.00 , (151.67), (81.67)
2015-02-28, 95.00 , 267.00 , 711.00 , 14.67 , (30.33)
2015-01-31, 267.00 , 196.00 , 640.00 , (71.67), 9.33 
2014-12-31, 196.00 , 277.00 , 558.00 , -   , 24.33 
2014-11-30, 277.00 , 284.00 , 740.00 , 41.00 , 24.67 
2014-10-31, 284.00 , 242.00 , 757.00 , (1.33), (16.33)
2014-09-30, 242.00 , 305.00 , 803.00 , 52.67 , (39.00)
2014-08-31, 305.00 , 182.00 , 831.00 , (77.33), (12.33)
2014-07-31, 182.00 , 243.00 , 729.00 , (39.33), 10.67 
2014-06-30, 243.00 , 332.00 , 730.00 , 67.33 , 76.33 
2014-05-31, 332.00 , 203.00 , 757.00 , (45.67), 133.67 
2014-04-30, 203.00 , 312.00 , 778.00 , 106.00 , 77.67 
2014-03-31, 312.00 , 279.00 , 847.00 , 148.00 , 23.00 
2014-02-28, 279.00 , 155.00 , 794.00 , (16.00), (95.33)
2014-01-31, 155.00 , 184.00 , 746.00 , 1.00 , (45.00)
2013-12-31, 184.00 , 54.00 , 618.00 , (172.33), (0.33)
2013-11-30, 54.00 , 275.00 , 393.00 , 59.00 , 45.00 
2013-10-31, 275.00 , 220.00 , 513.00 , 36.67 , 44.33 
2013-09-30, 220.00 , 184.00 , 549.00 , 2.67 , (10.00)
2013-08-31, 184.00 , 244.00 , 679.00 , 72.33 , (1.00)
2013-07-31, 244.00 , 122.00 , 648.00 , (71.33), (32.00)
2013-06-30, 122.00 , 178.00 , 550.00 , (4.33), (11.33)
2013-05-31, 178.00 , 215.00 , 544.00 , 11.33 , (54.33)
2013-04-30, 215.00 , 187.00 , 515.00 , (17.67), 5.67 
