v,AHE M-o-M,Change in 3M/3M Annualized,Change in Current - Previous 3M Avg.,
10/31/2023 0:00,0.21%,-0.51%,-0.12%,
9/30/2023 0:00,0.33%,-0.31%,-0.04%,
8/31/2023 0:00,0.27%,0.11%,-0.12%,
7/31/2023 0:00,0.39%,0.28%,-0.01%,
6/30/2023 0:00,0.45%,0.49%,0.11%,
5/31/2023 0:00,0.33%,0.11%,0.01%,
4/30/2023 0:00,0.42%,-0.18%,0.14%,
3/31/2023 0:00,0.27%,-0.48%,-0.04%,
2/28/2023 0:00,0.27%,-0.27%,-0.09%,
1/31/2023 0:00,0.30%,0.11%,-0.09%,
12/31/2022 0:00,0.37%,0.15%,-0.01%,
11/30/2022 0:00,0.43%,-0.02%,0.09%,
10/31/2022 0:00,0.40%,-0.28%,0.04%,
9/30/2022 0:00,0.31%,-0.02%,-0.07%,
8/31/2022 0:00,0.31%,-0.28%,-0.10%,
7/31/2022 0:00,0.47%,0.33%,0.10%,
6/30/2022 0:00,0.37%,-0.29%,-0.08%,
5/31/2022 0:00,0.38%,0.16%,0.05%,
4/30/2022 0:00,0.35%,-0.82%,-0.09%,
3/31/2022 0:00,0.63%,-0.25%,0.22%,
2/28/2022 0:00,0.00%,-0.34%,-0.52%,
1/31/2022 0:00,0.67%,0.01%,0.18%,
12/31/2021 0:00,0.58%,0.10%,0.08%,
11/30/2021 0:00,0.32%,0.25%,-0.20%,
10/31/2021 0:00,0.58%,0.06%,0.11%,
9/30/2021 0:00,0.58%,-0.26%,0.15%,
8/31/2021 0:00,0.39%,0.30%,-0.11%,
7/31/2021 0:00,0.43%,0.81%,-0.10%,
6/30/2021 0:00,0.49%,1.60%,0.13%,
5/31/2021 0:00,0.60%,-0.38%,0.28%,
4/30/2021 0:00,0.50%,-0.48%,0.35%,
3/31/2021 0:00,0.00%,-1.28%,-0.46%,
2/28/2021 0:00,0.43%,1.16%,0.01%,
1/31/2021 0:00,0.00%,1.07%,-0.45%,
12/31/2020 0:00,0.94%,1.15%,0.76%,
11/30/2020 0:00,0.34%,1.83%,0.17%,
10/31/2020 0:00,0.07%,3.42%,-0.10%,
9/30/2020 0:00,0.14%,-1.84%,0.40%,
8/31/2020 0:00,0.31%,-6.53%,1.00%,
7/31/2020 0:00,0.07%,-11.17%,-0.62%,
6/30/2020 0:00,-1.18%,0.64%,-2.55%,
5/31/2020 0:00,-0.97%,4.97%,-2.80%,
4/30/2020 0:00,4.20%,6.87%,3.70%,
3/31/2020 0:00,0.88%,1.10%,0.64%,
2/29/2020 0:00,0.42%,-0.11%,0.20%,
1/31/2020 0:00,0.21%,-0.15%,-0.02%,
12/31/2019 0:00,0.07%,-0.16%,-0.19%,
11/30/2019 0:00,0.39%,-0.25%,0.13%,
10/31/2019 0:00,0.25%,-0.21%,-0.03%,
9/30/2019 0:00,0.14%,0.39%,-0.18%,
8/31/2019 0:00,0.39%,0.53%,0.08%,
7/31/2019 0:00,0.29%,0.44%,0.11%,
6/30/2019 0:00,0.29%,-0.40%,0.09%,
5/31/2019 0:00,0.36%,-0.50%,0.16%,
4/30/2019 0:00,-0.11%,-0.31%,-0.39%,
3/31/2019 0:00,0.32%,-0.06%,0.01%,
2/28/2019 0:00,0.40%,0.09%,0.12%,
1/31/2019 0:00,0.11%,-0.21%,-0.18%,
12/31/2018 0:00,0.44%,-0.27%,0.14%,
11/30/2018 0:00,0.29%,0.09%,-0.04%,
10/31/2018 0:00,0.15%,0.50%,-0.21%,
9/30/2018 0:00,0.44%,0.60%,0.17%,
8/31/2018 0:00,0.41%,-0.06%,0.20%,
7/31/2018 0:00,0.22%,-0.11%,0.01%,
6/30/2018 0:00,0.19%,-0.42%,-0.10%,
5/31/2018 0:00,0.22%,-0.01%,-0.01%,
4/30/2018 0:00,0.22%,-0.27%,-0.09%,
